FECHA Y HORA,FECHA,HORA,LINEA,MOTIVO,DURACION
19/10/2019 19:34,19/10/19,19:34:05,B,Trenes no se detienen en Carlos Pellegrini por operativo de seguridad en superficie,02:44:08
31/05/2019 18:32,31/05/19,18:32:02,B,Los trenes no se detienen en Medrano,02:42:01
29/08/2019 00:10,29/08/19,00:10:13,B,Servicio interrumpido por medida de fuerza gremial,02:37:52
15/01/2019 20:58,15/01/19,20:58:08,B,Con demora por factores climáticos,02:33:55
16/01/2019 00:02,16/01/19,00:02:08,B,Los trenes no se detienen en Uruguay con destino a L. N. Alem,02:09:56
09/08/2019 22:14,09/08/19,22:14:12,B,Servicio con demora debido a un problema técnico en una formación,01:59:56
16/01/2019 10:42,16/01/19,10:42:08,B,Los trenes no se detienen en Uruguay con destino a L. N. Alem,01:57:56
22/01/2019 21:38,22/01/19,21:38:09,B,Interrumpida por falta de suministro de energía eléctrica debido a causas ajenas,01:51:58
14/08/2019 08:40,14/08/19,08:40:05,B,Servicio interrumpido por medida de fuerza gremial,01:50:13
08/08/2019 08:36,08/08/19,08:36:11,B,Interrumpida por medida de fuerza gremial,01:45:57
04/07/2019 20:40,04/07/19,20:40:02,B,Servicio con demora,01:42:02
12/11/2019 22:24,12/11/19,22:24:04,B,Servicio con demora por una formación detenida debido a una causa técnica.,01:36:15
19/10/2019 17:58,19/10/19,17:58:04,B,Los trenes no se detienen en la estación C. Pellegrini por operativo de seguridad,01:34:06
31/05/2019 21:42,31/05/19,21:42:04,B,Servicio con demora,01:33:58
09/05/2019 21:52,09/05/19,21:52:10,B,Servicio con demora por anegamiento de vías,01:31:52
28/10/2019 00:28,28/10/19,00:28:03,B,Los trenes no se detienen en la estación Dorrego,01:28:09
04/05/2019 14:48,04/05/19,14:48:09,B,Servicio Limitado entre J. M. de Rosas y Medrano,01:16:01
11/07/2019 21:38,11/07/19,21:38:06,B,Servicio con demora debido a un problema técnico en una formación,01:12:02
25/07/2019 19:44,25/07/19,19:44:03,B,Servicio con demora debido a un problema técnico,01:12:00
19/10/2019 22:20,19/10/19,22:20:12,B,Los trenes no se detienen en C. Pellegrini por operativo de seguridad en superficie,01:09:52
27/02/2019 21:32,27/02/19,21:32:04,B,Servicio con demora debido a un problema técnico,01:08:00
11/05/2019 23:58,11/05/19,23:58:10,B,Servicio limitado entre L. N. Alem y Los Incas,01:08:00
22/01/2019 23:36,22/01/19,23:36:08,B,Servicio con demora,01:07:55
20/09/2019 23:46,20/09/19,23:46:02,B,Servicio con demora debido a un problema técnico en una formación,01:06:00
08/04/2019 21:52,08/04/19,21:52:03,B,Servicio con demora,01:04:05
03/05/2019 12:38,03/05/19,12:38:09,B,Servicio Limitado entre J. M. de Rosas y Medrano,01:01:54
29/10/2019 08:42,29/10/19,08:42:05,B,Servicio limitado entre las estaciones Juan Manuel de Rosas y Dorrego,01:00:08
02/03/2019 11:56,02/03/19,11:56:06,B,Los trenes no se detienen en Uruguay,00:59:58
16/01/2019 09:42,16/01/19,09:42:02,B,Los trenes no se detienen en Uruguay con destino a L. N. Alem,00:58:08
16/01/2019 08:42,16/01/19,08:42:04,B,Los trenes no se detienen en Uruguay con destino a L. N. Alem,00:58:04
19/09/2019 20:44,19/09/19,20:44:05,B,Servicio con demora debido a un problema técnico en una formación,00:56:05
18/10/2019 15:40,18/10/19,15:40:16,B,Servicio con demora por formación detenida debido a una causa técnica.,00:55:50
27/12/2019 00:42,27/12/19,00:42:08,B,Servicio con demora debido a una causa técnica.,00:53:53
08/11/2019 12:42,08/11/19,12:42:14,B,Servicio limitado entre las estaciones Juan Manuel de Rosas y Carlos Pellegrini,00:53:49
23/11/2019 20:06,23/11/19,20:06:08,B,Servicio interrumpido,00:52:02
28/03/2019 22:44,28/03/19,22:44:02,B,Servicio con demora,00:52:01
24/06/2019 23:00,24/06/19,23:00:10,B,Servicio con demora debido a un problema técnico,00:50:01
12/06/2019 23:52,12/06/19,23:52:03,B,Servicio con demora,00:48:03
14/06/2019 18:26,14/06/19,18:26:05,B,Servicio con demora,00:47:57
27/02/2019 12:08,27/02/19,12:08:05,B,Servicio con demora,00:46:00
25/10/2019 20:24,25/10/19,20:24:07,B,Servicio limitado entre las estaciones Leandro N. Alem y Angel Gallardo,00:45:59
27/02/2019 13:00,27/02/19,13:00:08,B,Servicio con demora debido a un problema técnico,00:41:55
18/06/2019 11:16,18/06/19,11:16:09,B,Servicio con demora,00:41:54
12/01/2019 15:56,12/01/19,15:56:02,B,Servicio limitado entre L. N. Alem y Federico Lacroze,00:40:05
25/06/2019 11:32,25/06/19,11:32:07,B,Servicio con demora debido a un problema técnico en una formación,00:40:02
22/05/2019 21:28,22/05/19,21:28:02,B,Servicio con demora debido a un problema técnico en una formación,00:38:02
08/03/2019 16:38,08/03/19,16:38:10,B,Servicio con demora,00:37:59
06/07/2019 23:42,06/07/19,23:42:02,B,Servicio limitado entre Juan Manuel de Rosas y Carlos Pellegrini,00:36:00
14/11/2019 21:28,14/11/19,21:28:07,B,Servicio con demora por una formación detenida debido a una causa técnica.,00:35:56
14/07/2019 14:20,14/07/19,14:20:05,B,Servicio limitado: L.N.Alem - A. Gallardo y F. Lacroze - J.M.de Rosas,00:34:05
31/05/2019 17:58,31/05/19,17:58:03,B,Los trenes no se detienen en Medrano,00:32:08
05/11/2019 19:16,05/11/19,19:16:13,B,Servicio con demora por una formación detenida debido a una causa técnica.,00:32:01
25/06/2019 12:46,25/06/19,12:46:02,B,Servicio con demora,00:32:00
02/12/2019 21:44,02/12/19,21:44:04,B,Servicio con demora debido a una causa técnica.,00:32:00
16/08/2019 11:32,16/08/19,11:32:04,B,Servicio con demora debido a un problema técnico,00:31:58
21/10/2019 21:42,21/10/19,21:42:02,B,Servicio con demora debido a una causa técnica.,00:30:07
16/04/2019 11:52,16/04/19,11:52:09,B,Servicio con demora debido a un problema técnico en una formación,00:30:01
28/08/2019 23:38,28/08/19,23:38:08,B,Interrumpida por medida de fuerza gremial,00:30:00
15/04/2019 09:58,15/04/19,09:58:03,B,Servicio con demora debido a un problema técnico en una formación,00:30:00
07/08/2019 21:58,07/08/19,21:58:02,B,Servicio con demora debido a un problema técnico en una formación,00:30:00
25/10/2019 21:24,25/10/19,21:24:03,B,Servicio limitado entre las estaciones Alem - Gallardo y Lacroze - Rosas,00:29:59
02/08/2019 21:36,02/08/19,21:36:05,B,Servicio con demora debido a un problema técnico en una formación,00:29:57
05/07/2019 09:00,05/07/19,09:00:12,B,Servicio con demora,00:29:56
18/06/2019 10:42,18/06/19,10:42:09,B,Los trenes no se detienen en Pueyrredón con destino a J. M. de Rosas,00:29:55
04/11/2019 21:52,04/11/19,21:52:13,B,Servicio con demora por una formación detenida debido a una causa técnica.,00:29:53
23/10/2019 20:54,23/10/19,20:54:05,B,Servicio con demora debido a una causa técnica.,00:27:57
23/12/2019 22:30,23/12/19,22:30:14,B,Servicio con demora por una formación detenida debido a una causa técnica.,00:27:47
19/07/2019 23:42,19/07/19,23:42:02,B,Servicio con demora debido a un problema técnico en una formación,00:26:09
08/06/2019 15:02,08/06/19,15:02:04,B,Servicio limitado entre Juan Manuel de Rosas y Carlos Pellegrini,00:26:06
29/07/2019 21:32,29/07/19,21:32:02,B,Servicio Limitado entre J. M. de Rosas y Medrano,00:26:04
16/01/2019 12:42,16/01/19,12:42:02,B,Los trenes no se detienen en Uruguay con destino a L. N. Alem,00:26:01
29/08/2019 21:58,29/08/19,21:58:04,B,Servicio con demora,00:26:01
25/06/2019 12:14,25/06/19,12:14:08,B,Servicio limitado entre L. N. Alem y Los Incas,00:25:54
04/07/2019 19:48,04/07/19,19:48:09,B,Servicio con demora debido a un problema técnico en una formación,00:25:53
16/08/2019 15:00,16/08/19,15:00:02,B,Servicio con demora,00:24:02
28/03/2019 22:10,28/03/19,22:10:04,B,Servicio limitado entre Juan Manuel de Rosas y Carlos Pellegrini,00:24:01
08/01/2019 21:32,08/01/19,21:32:02,B,Servicio con demora debido a un problema técnico en una formación,00:24:00
03/03/2019 11:52,03/03/19,11:52:05,B,Servicio Limitado entre J. M. de Rosas y Medrano,00:23:59
13/10/2019 18:02,13/10/19,18:02:03,B,Servicio con demora,00:22:09
17/09/2019 21:30,17/09/19,21:30:01,B,Servicio con demora debido a un problema técnico en una formación,00:22:08
31/03/2019 19:14,31/03/19,19:14:07,B,Servicio con demora,00:22:03
22/07/2019 23:48,22/07/19,23:48:12,B,Servicio con demora debido a un problema técnico en una formación,00:22:02
10/05/2019 16:34,10/05/19,16:34:02,B,Servicio limitado entre Alem - Gallardo y Dorrego-Rosas,00:22:01
31/05/2019 17:34,31/05/19,17:34:03,B,Trenes con destino a Juan Manuel de Rosas no se detienen en Medrano,00:22:00
20/08/2019 19:20,20/08/19,19:20:05,B,Servicio con demora,00:21:59
29/01/2019 18:18,29/01/19,18:18:10,B,Servicio limitado entre Juan Manuel de Rosas y Carlos Pellegrini,00:21:59
01/10/2019 20:00,01/10/19,20:00:15,B,Servicio con demora debido a una causa técnica.,00:21:58
18/03/2019 13:54,18/03/19,13:54:08,B,Los trenes no se detienen en Pueyrredón,00:21:55
27/05/2019 14:38,27/05/19,14:38:11,B,Servicio con demora,00:21:51
21/05/2019 09:48,21/05/19,09:48:01,B,Servicio con demora debido a un problema técnico,00:20:07
08/04/2019 11:20,08/04/19,11:20:05,B,Servicio con demora debido a la atención médica a un usuario,00:20:06
10/06/2019 21:10,10/06/19,21:10:02,B,Servicio con demora,00:20:04
29/07/2019 22:04,29/07/19,22:04:02,B,Servicio con demora,00:20:01
02/01/2019 13:48,02/01/19,13:48:03,B,Servicio con demora debido a un problema técnico en una formación,00:20:01
22/10/2019 18:02,22/10/19,18:02:02,B,Servicio limitado entre las estaciones Alem - Gallardo y Dorrego-Rosas,00:20:00
05/12/2019 17:38,05/12/19,17:38:04,B,Servicio limitado: Alem - A. Gallardo y Dorrego - J.M. Rosas,00:19:58
05/07/2019 08:32,05/07/19,08:32:11,B,Interrupción debido a un problema técnico en una formación,00:19:54
08/05/2019 13:24,08/05/19,13:24:09,B,Servicio con demora debido a un problema técnico en una formación,00:19:53
04/01/2019 21:38,04/01/19,21:38:11,B,Servicio con demora debido a un problema técnico en una formación,00:19:53
20/08/2019 17:20,20/08/19,17:20:02,B,Servicio con demora,00:18:08
15/07/2019 12:46,15/07/19,12:46:03,B,Servicio con demora debido a un problema técnico en una formación,00:18:07
23/09/2019 21:30,23/09/19,21:30:09,B,Servicio con demora debido a un problema técnico en una formación,00:18:02
02/07/2019 17:30,02/07/19,17:30:02,B,Servicio con demora,00:18:01
08/04/2019 15:52,08/04/19,15:52:09,B,Servicio con demora debido a un problema técnico en una formación,00:18:01
27/02/2019 20:38,27/02/19,20:38:05,B,Servicio con demora debido a un problema técnico,00:17:59
16/08/2019 22:32,16/08/19,22:32:03,B,Servicio con demora debido a un problema técnico,00:17:58
25/07/2019 11:42,25/07/19,11:42:12,B,Con demora debido a la atención médica a un usuario a bordo de formación,00:17:53
21/03/2019 10:18,21/03/19,10:18:10,B,Servicio con demora debido a un problema técnico en una formación,00:17:53
02/11/2019 20:40,02/11/19,20:40:07,B,Servicio Limitado entre las estaciones Juan Manuel de Rosas y Medrano,00:16:08
24/05/2019 21:58,24/05/19,21:58:03,B,Servicio con demora,00:16:06
